"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Christian McCaffrey","SF","273.0","1,290.0","11.6","69.9","567.4","4.8","1.7","316.0"
"Breece Hall","NYJ","249.3","1,128.0","8.1","66.8","529.0","3.8","1.4","267.7"
"Bijan Robinson","ATL","240.6","1,100.7","7.3","65.7","536.3","4.3","2.2","262.0"
"Saquon Barkley","PHI","269.4","1,139.3","9.1","49.0","351.5","3.0","1.7","243.1"
"Jonathan Taylor","IND","283.3","1,269.0","10.1","37.2","278.9","1.6","1.4","240.6"
"Kyren Williams","LAR","254.4","1,147.8","10.2","35.5","259.2","2.0","1.7","228.2"
"Jahmyr Gibbs","DET","202.6","941.3","8.4","54.6","390.0","2.2","1.4","221.4"
"Derrick Henry","BAL","265.4","1,189.4","11.1","24.3","195.0","0.9","1.0","220.5"
"Travis Etienne Jr.","JAC","250.0","1,024.2","8.2","46.1","357.9","1.2","1.3","214.9"
"Isiah Pacheco","KC","238.6","1,065.8","8.5","41.0","274.0","2.0","1.4","214.7"
"James Cook","BUF","237.8","1,054.0","5.2","45.1","383.0","2.8","1.4","211.6"
"Rachaad White","TB","239.0","926.3","6.6","53.5","403.9","2.4","1.7","210.2"
"De'Von Achane","MIA","174.9","906.1","7.2","45.5","347.8","2.9","0.9","206.9"
"Josh Jacobs","GB","249.4","1,034.9","8.3","38.5","293.2","1.1","1.0","206.2"
"Alvin Kamara","NO","203.4","798.7","5.3","68.1","480.9","2.3","0.9","205.5"
"Joe Mixon","HOU","247.0","968.7","7.6","40.0","303.6","2.2","0.9","204.2"
"Kenneth Walker III","SEA","238.3","996.7","8.9","29.1","225.1","1.0","0.9","194.7"
"Aaron Jones","MIN","186.0","856.8","5.4","43.3","317.9","2.0","1.0","181.3"
"David Montgomery","DET","202.8","893.3","9.8","22.4","168.0","0.8","0.9","179.3"
"Rhamondre Stevenson","NE","213.7","885.8","5.7","41.6","284.9","0.8","1.0","175.3"
"Zamir White","LV","235.1","988.4","5.8","33.0","230.2","0.8","1.3","175.1"
"Najee Harris","PIT","240.4","959.7","6.7","29.0","182.6","1.2","1.0","174.0"
"James Conner","ARI","201.6","883.3","6.7","32.6","222.6","1.4","0.9","173.5"
"Raheem Mostert","MIA","168.6","803.3","8.4","26.4","184.8","1.5","1.0","169.7"
"D'Andre Swift","CHI","183.3","828.8","5.2","36.5","251.1","1.6","1.0","164.7"
"Javonte Williams","DEN","197.3","811.6","4.6","40.3","241.4","1.5","0.9","160.2"
"Tony Pollard","TEN","190.2","821.2","5.6","33.9","233.9","0.8","0.9","159.3"
"Jaylen Warren","PIT","146.7","702.7","3.9","48.5","331.6","1.7","1.4","158.9"
"Brian Robinson Jr.","WAS","184.6","774.1","5.3","29.2","246.9","1.8","1.5","156.4"
"Devin Singletary","NYG","196.3","848.1","5.0","33.0","213.6","0.7","1.0","154.7"
"Zack Moss","CIN","168.5","730.8","5.8","28.2","196.0","1.4","0.5","148.7"
"Tyjae Spears","TEN","142.8","623.9","3.6","43.3","337.2","1.5","0.9","146.7"
"Austin Ekeler","WAS","124.1","516.6","4.1","46.8","373.9","2.0","1.7","145.9"
"Chase Brown","CIN","140.1","609.8","4.0","36.9","301.1","1.9","0.6","143.4"
"Ezekiel Elliott","DAL","172.7","670.7","5.7","29.8","197.9","1.3","1.0","142.3"
"Gus Edwards","LAC","183.7","786.1","7.0","15.2","132.0","0.4","1.3","141.0"
"Nick Chubb","CLE","164.6","783.6","5.4","18.7","148.7","0.6","0.9","137.0"
"Jonathon Brooks","CAR","161.3","702.5","4.6","23.7","182.4","0.9","1.6","130.4"
"Jerome Ford","CLE","146.8","577.8","3.6","30.6","217.6","1.8","0.8","125.9"
"J.K. Dobbins","LAC","128.3","545.1","3.8","23.9","180.4","1.5","0.9","114.3"
"Ty Chandler","MIN","145.5","595.3","4.3","20.7","151.9","0.6","0.8","113.1"
"Rico Dowdle","DAL","144.6","550.9","3.7","22.4","173.2","1.3","0.4","112.4"
"Tyler Allgeier","ATL","134.8","556.4","3.9","21.4","169.9","1.2","0.8","111.9"
"Zach Charbonnet","SEA","115.3","498.9","3.0","32.8","222.4","0.8","0.8","110.0"
"Antonio Gibson","NE","116.2","443.3","2.3","37.7","283.7","1.2","1.4","109.9"
"Chuba Hubbard","CAR","139.9","563.2","3.6","25.6","177.1","0.5","0.9","109.9"
"Blake Corum","LAR","130.6","548.5","4.2","19.5","151.7","0.7","1.5","106.5"
"Trey Benson","ARI","130.8","567.3","3.9","17.9","131.2","0.8","1.5","103.8"
"Khalil Herbert","CHI","147.9","597.0","3.4","16.6","114.5","0.9","0.8","103.2"
"Jaleel McLaughlin","DEN","97.5","470.4","2.6","28.3","183.1","1.0","0.8","99.3"
"MarShawn Lloyd","GB","102.2","405.5","3.2","16.4","130.8","1.0","1.1","84.8"
"Kendre Miller","NO","83.8","342.8","2.4","21.3","169.8","1.0","0.8","80.9"
"Ray Davis","BUF","88.0","380.1","2.9","16.1","132.5","0.6","1.2","77.6"
"Clyde Edwards-Helaire","KC","76.0","297.9","1.9","19.6","165.0","1.3","0.5","74.2"
"Braelon Allen","NYJ","99.8","396.7","2.9","11.0","86.2","0.7","0.8","74.0"
"Bucky Irving","TB","96.6","368.1","2.5","14.8","121.1","0.7","1.4","72.8"
"Jamaal Williams","NO","101.2","382.3","2.8","15.0","84.5","0.2","0.5","71.0"
"Alexander Mattison","LV","103.5","389.7","2.4","12.1","79.9","0.9","0.9","71.0"
"Tyrone Tracy Jr.","NYG","92.5","365.9","2.4","14.2","104.7","0.7","1.1","70.9"
"Elijah Mitchell","SF","94.9","391.5","3.1","9.2","59.4","0.2","0.7","67.9"
"Miles Sanders","CAR","105.8","381.0","1.8","16.2","101.5","0.2","1.2","66.0"
"Roschon Johnson","CHI","67.7","265.4","2.0","17.1","114.9","0.4","0.8","59.9"
"Dameon Pierce","HOU","83.0","336.0","2.3","9.9","72.4","0.2","0.5","59.8"
"Keaton Mitchell","BAL","68.5","314.5","2.1","11.5","92.9","0.3","0.7","59.5"
"Kimani Vidal","LAC","63.5","294.7","1.9","13.4","94.0","0.3","0.1","58.9"
"D'Onta Foreman","CLE","71.1","299.1","2.3","8.5","68.7","0.6","0.1","58.4"
"Jaylen Wright","MIA","57.7","266.5","2.2","11.5","95.8","0.7","0.8","57.9"
"Tank Bigsby","JAC","94.8","319.1","3.1","8.2","55.9","0.2","2.2","57.1"
"Kenneth Gainwell","PHI","62.1","245.9","1.8","16.7","117.6","0.4","1.2","55.8"
"AJ Dillon","GB","64.0","261.2","2.0","10.5","90.0","0.1","0.4","52.2"
"Samaje Perine","DEN","42.0","179.8","1.1","20.1","155.2","0.6","1.1","51.5"
"Justice Hill","BAL","54.0","219.1","1.5","13.9","103.3","0.4","0.8","49.3"
"Carson Steele","KC","64.0","176.5","1.0","15.0","136.5","0.5","0.5","46.8"
"Chase Edmonds","TB","55.5","199.4","1.2","13.7","95.4","0.2","0.1","44.3"
"Audric Estime","DEN","56.6","238.5","1.6","8.7","63.9","0.4","1.1","44.3"
"Eric Gray","NYG","39.6","207.1","1.4","10.8","73.8","0.2","0.1","43.1"
"Dylan Laube","LV","41.7","200.2","1.4","10.5","75.3","0.2","0.1","42.3"
"Royce Freeman","DAL","56.5","228.8","1.5","6.8","47.0","0.3","0.2","41.5"
"Emari Demercado","ARI","31.9","141.6","1.1","16.2","107.1","0.4","0.5","41.4"
"Will Shipley","PHI","36.3","191.2","1.6","7.4","55.5","0.4","0.1","40.2"
"Trey Sermon","IND","44.4","228.5","1.2","6.5","44.5","0.1","0.1","38.3"
"Isaiah Davis","NYJ","65.3","192.8","1.4","6.5","46.9","0.2","0.1","36.4"
"Ty Johnson","BUF","27.1","129.9","0.9","11.1","93.3","0.6","0.2","36.3"
"Deneric Prince","KC","22.5","182.4","1.3","7.2","53.3","0.1","0.0","35.4"
"Evan Hull","IND","34.5","155.4","1.0","9.0","64.3","0.5","0.1","35.3"
"Jordan Mason","SF","33.1","182.9","1.6","4.2","29.0","0.1","0.0","33.0"
"Isaac Guerendo","SF","29.9","167.3","1.3","5.2","43.0","0.1","0.0","31.8"
"Cordarrelle Patterson","PIT","23.7","114.9","0.8","9.6","72.5","0.3","0.1","30.4"
"Kendall Milton","PHI","34.0","145.0","2.0","2.0","25.0","0.0","0.0","30.0"
"Kyle Juszczyk","SF","5.6","20.2","0.1","14.2","136.7","1.1","0.0","29.9"
"Jase McClellan","ATL","32.9","133.9","1.0","5.5","43.9","0.4","0.0","29.0"
"Rasheen Ali","BAL","26.4","149.0","1.2","4.6","35.9","0.1","0.0","28.2"
"Deuce Vaughn","DAL","24.7","105.3","0.9","8.4","63.0","0.4","0.4","28.1"
"Ameer Abdullah","LV","26.8","102.7","0.2","11.8","86.5","0.2","0.1","27.0"
"Chris Rodriguez Jr.","WAS","14.5","119.9","0.9","7.1","50.4","0.2","0.1","26.8"
"Michael Carter","ARI","25.9","113.9","0.8","8.3","54.2","0.1","0.1","26.2"
"Nyheim Hines","CLE","22.9","71.3","0.5","10.8","80.9","0.2","0.1","25.0"
"Andrew Beck","HOU","3.7","9.5","0.7","9.9","87.8","1.5","1.5","24.6"
"Jawhar Jordan","HOU","0.0","134.0","1.0","4.0","30.0","0.0","0.0","24.4"
"DeWayne McBride","MIN","0.0","125.0","1.0","4.0","30.0","0.0","0.0","23.5"
"Blake Watson","DEN","0.0","108.0","1.0","4.0","29.0","0.0","0.0","21.7"
"D'Ernest Johnson","JAC","31.7","113.6","0.5","5.5","39.2","0.1","0.1","21.6"
"Ronnie Rivers","LAR","27.2","109.3","0.7","4.6","33.3","0.1","0.0","21.2"
"Craig Reynolds","DET","21.6","102.5","0.8","4.1","33.4","0.1","0.1","20.7"
"Dillon Johnson","CAR","0.0","107.0","1.0","3.0","22.0","0.0","0.0","20.4"
"Kevin Harris","NE","6.0","99.8","0.8","4.6","33.8","0.0","0.0","20.4"
"Hunter Luepke","DAL","8.4","31.2","1.4","5.7","39.1","0.2","0.0","19.4"
"Jeremy McNichols","WAS","14.1","56.8","0.0","8.0","65.0","0.5","0.0","19.4"
"Trayveon Williams","CIN","24.5","84.2","0.5","5.5","36.1","0.2","0.1","18.6"
"Dare Ogunbowale","HOU","16.7","60.3","0.2","8.1","59.4","0.2","0.1","18.2"
"Pierre Strong Jr.","CLE","19.2","103.7","0.7","2.7","19.9","0.0","0.0","17.9"
"Kenny McIntosh","SEA","27.6","82.6","0.4","5.1","36.5","0.2","0.1","17.8"
"Isaiah Spiller","LAC","26.1","87.7","0.7","3.4","20.5","0.0","0.0","16.7"
"Jeff Wilson Jr.","MIA","15.6","86.5","0.7","3.0","21.7","0.1","0.0","16.7"
"JaMycal Hasty","NE","19.5","66.0","0.4","5.6","37.4","0.1","0.1","16.2"
"Julius Chestnut","TEN","14.8","62.1","0.4","5.3","37.6","0.2","0.2","15.7"
"Emanuel Wilson","GB","2.2","70.5","0.5","4.1","29.9","0.1","0.0","15.6"
"Dante Miller","NYG","17.6","74.7","0.6","3.1","24.1","0.1","0.0","15.5"
"Emani Bailey","KC","29.0","87.5","0.5","2.5","23.0","0.0","0.0","15.3"
"Cam Akers","HOU","11.6","79.5","0.6","2.5","17.8","0.1","0.0","14.8"
"Jaret Patterson","LAC","16.7","71.0","0.4","4.0","27.5","0.1","0.1","14.7"
"Tyler Goodson","IND","2.4","61.4","0.5","4.0","28.7","0.1","0.0","14.4"
"Joshua Kelley","NYG","2.2","71.2","0.5","3.5","24.0","0.0","0.0","14.3"
"Cody Schrader","SF","33.0","84.5","0.5","1.5","14.5","0.0","0.0","13.7"
"Zonovan Knight","DET","17.7","68.7","0.5","2.1","16.6","0.1","0.0","13.1"
"Boston Scott","LAR","2.3","54.3","0.6","2.5","19.2","0.1","0.0","12.4"
"La'Mical Perine","PIT","12.7","52.6","0.3","3.7","26.4","0.1","0.1","12.2"
"Israel Abanikanda","NYJ","17.2","63.6","0.3","2.7","18.9","0.1","0.1","12.1"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.3","0.3","0.1","11.5"
"Matt Breida","SF","2.5","45.5","0.5","2.5","18.5","0.1","0.0","11.2"
"Sione Vaki","DET","12.7","53.1","0.4","2.0","14.5","0.1","0.1","10.8"
"Keaontay Ingram","KC","15.4","51.8","0.3","2.9","18.6","0.1","0.0","10.7"
"Raheem Blackshear","CAR","6.1","35.8","0.2","4.5","33.5","0.0","0.0","10.2"
"Myles Gaskin","MIN","13.5","53.1","0.3","2.1","14.1","0.1","0.1","9.8"
"Louis Rees-Zammit","KC","10.9","45.3","0.4","2.2","15.3","0.1","0.1","9.7"
"Sean Tucker","TB","10.0","38.8","0.2","2.8","20.5","0.1","0.0","9.0"
"Kene Nwangwu","MIN","9.6","42.7","0.2","2.7","17.8","0.1","0.0","8.9"
"Chris Brooks","MIA","6.9","29.4","0.2","3.2","21.9","0.2","0.1","8.7"
"Salvon Ahmed","MIA","2.2","30.4","0.0","4.1","29.7","0.1","0.0","8.6"
"Michael Burton","DEN","5.1","20.7","0.1","4.0","26.4","0.2","0.1","8.2"
"DeeJay Dallas","ARI","5.3","30.3","0.1","3.7","24.5","0.0","0.0","7.9"
"Avery Williams","ATL","4.4","18.3","0.2","3.3","22.4","0.2","0.0","7.7"
"Darrynton Evans","BUF","5.1","20.8","0.1","3.1","23.1","0.2","0.0","7.6"
"Travis Homer","CHI","2.3","32.3","0.0","3.1","22.1","0.1","0.0","7.5"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.5","33.7","0.3","0.0","7.3"
"Malik Davis","DAL","2.3","32.1","0.0","2.6","19.5","0.1","0.0","7.0"
"Giovanni Ricci","CLE","2.4","10.0","0.0","4.0","28.5","0.2","0.0","6.9"
"Tucker Fisk","LAC","0.0","0.0","0.0","4.4","31.3","0.2","0.0","6.7"
"Adam Prentice","NO","3.3","14.0","0.1","3.3","23.1","0.1","0.0","6.5"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","5.8"
"Gary Brightwell","JAC","4.3","17.5","0.2","2.0","12.8","0.0","0.0","5.1"
"Hassan Haskins","TEN","2.3","27.6","0.0","1.9","12.4","0.0","0.0","5.0"
"Jake Funk","DET","2.4","9.4","0.0","2.1","16.1","0.2","0.0","4.6"
"Jermar Jefferson","DET","2.4","9.5","0.0","2.1","15.9","0.2","0.0","4.6"
"J.J. Taylor","HOU","2.2","8.8","0.0","2.2","16.2","0.2","0.0","4.6"
"Snoop Conner","DAL","2.3","9.2","0.0","2.1","15.6","0.2","0.0","4.6"
"Elijah Dotson","LAC","2.3","16.6","0.0","2.1","14.8","0.1","0.0","4.5"
"Zach Evans","LAR","2.3","20.6","0.0","1.5","12.1","0.1","0.0","4.5"
"James Robinson","NO","2.4","10.1","0.0","2.1","13.5","0.2","0.0","4.4"
"Khari Blasingame","CHI","2.3","9.3","0.0","2.1","14.5","0.2","0.0","4.4"
"Spencer Brown","ATL","4.7","18.8","0.0","2.0","13.8","0.0","0.0","4.4"
"Patrick Ricard","BAL","2.7","10.9","0.0","1.9","13.1","0.2","0.0","4.3"
"Patrick Taylor Jr.","SF","2.5","13.5","0.0","2.0","13.9","0.1","0.0","4.2"
"John Kelly Jr.","BAL","2.4","9.9","0.0","2.0","13.8","0.1","0.0","4.0"
"C.J. Ham","MIN","2.2","8.6","0.0","2.1","15.4","0.0","0.0","3.7"
"Jakob Johnson","NYG","2.2","8.8","0.0","2.0","12.2","0.0","0.0","3.1"
"Tyrion Davis-Price","PHI","0.0","17.0","0.0","1.0","3.0","0.0","0.0","2.5"
"Mike Boone","CAR","0.0","0.0","0.0","2.0","14.0","0.0","0.0","2.4"
""
""